Loading dataset refvg train into memory...
number of refs: 721164
Loading dataset refvg val into memory...
number of refs: 36183
Epoch: [2][4900/11269]	Loss 1.5370 (1.4929)	Prec 0.5084
Epoch: [2][5000/11269]	Loss 1.6280 (1.4925)	Prec 0.5102
Epoch: [2][5100/11269]	Loss 1.3077 (1.4929)	Prec 0.5031
Epoch: [2][5200/11269]	Loss 1.2156 (1.4929)	Prec 0.5006
Epoch: [2][5300/11269]	Loss 1.4319 (1.4933)	Prec 0.4981
Epoch: [2][5400/11269]	Loss 1.2049 (1.4928)	Prec 0.5055
Epoch: [2][5500/11269]	Loss 1.5846 (1.4924)	Prec 0.4975
Epoch: [2][5600/11269]	Loss 1.4718 (1.4931)	Prec 0.4877
Epoch: [2][5700/11269]	Loss 1.6312 (1.4941)	Prec 0.4967
Epoch: [2][5800/11269]	Loss 1.4170 (1.4947)	Prec 0.4823
Epoch: [2][5900/11269]	Loss 1.5339 (1.4947)	Prec 0.5022
Epoch: [2][6000/11269]	Loss 1.6339 (1.4955)	Prec 0.4916
Epoch: [2][6100/11269]	Loss 1.5520 (1.4952)	Prec 0.4897
Epoch: [2][6200/11269]	Loss 1.4218 (1.4943)	Prec 0.4911
Epoch: [2][6300/11269]	Loss 1.6655 (1.4941)	Prec 0.4933
Epoch: [2][6400/11269]	Loss 1.8299 (1.4935)	Prec 0.4950
Epoch: [2][6500/11269]	Loss 1.4111 (1.4933)	Prec 0.4886
Epoch: [2][6600/11269]	Loss 1.4882 (1.4927)	Prec 0.4984
Epoch: [2][6700/11269]	Loss 1.1764 (1.4923)	Prec 0.4900
Epoch: [2][6800/11269]	Loss 1.7165 (1.4919)	Prec 0.4975
Epoch: [2][6900/11269]	Loss 1.3143 (1.4913)	Prec 0.5014
Epoch: [2][7000/11269]	Loss 1.5726 (1.4910)	Prec 0.5103
Epoch: [2][7100/11269]	Loss 1.6864 (1.4914)	Prec 0.4878
Epoch: [2][7200/11269]	Loss 1.4454 (1.4909)	Prec 0.5072
Epoch: [2][7300/11269]	Loss 1.4677 (1.4908)	Prec 0.4903
Epoch: [2][7400/11269]	Loss 1.6070 (1.4905)	Prec 0.4953
Epoch: [2][7500/11269]	Loss 1.4360 (1.4901)	Prec 0.5123
Epoch: [2][7600/11269]	Loss 1.7668 (1.4903)	Prec 0.4869
Epoch: [2][7700/11269]	Loss 1.4896 (1.4900)	Prec 0.4947
Epoch: [2][7800/11269]	Loss 1.2763 (1.4893)	Prec 0.4797
Epoch: [2][7900/11269]	Loss 1.4909 (1.4887)	Prec 0.4894
Epoch: [2][8000/11269]	Loss 1.4906 (1.4881)	Prec 0.4900
Epoch: [2][8100/11269]	Loss 1.4259 (1.4878)	Prec 0.5023
Epoch: [2][8200/11269]	Loss 1.5232 (1.4872)	Prec 0.5020
Epoch: [2][8300/11269]	Loss 1.4468 (1.4870)	Prec 0.4911
Epoch: [2][8400/11269]	Loss 1.4112 (1.4871)	Prec 0.4845
Epoch: [2][8500/11269]	Loss 1.4825 (1.4873)	Prec 0.4908
Epoch: [2][8600/11269]	Loss 1.3697 (1.4874)	Prec 0.4927
Epoch: [2][8700/11269]	Loss 1.3409 (1.4882)	Prec 0.4967
Epoch: [2][8800/11269]	Loss 1.5580 (1.4884)	Prec 0.4908
Epoch: [2][8900/11269]	Loss 1.3395 (1.4880)	Prec 0.4972
Epoch: [2][9000/11269]	Loss 1.6121 (1.4877)	Prec 0.4903
Epoch: [2][9100/11269]	Loss 1.3244 (1.4874)	Prec 0.4889
Epoch: [2][9200/11269]	Loss 1.4557 (1.4870)	Prec 0.5045
Epoch: [2][9300/11269]	Loss 1.5163 (1.4870)	Prec 0.4923
Epoch: [2][9400/11269]	Loss 1.5055 (1.4867)	Prec 0.5017
Epoch: [2][9500/11269]	Loss 1.4745 (1.4867)	Prec 0.4791
Epoch: [2][9600/11269]	Loss 1.3539 (1.4864)	Prec 0.5047
Epoch: [2][9700/11269]	Loss 1.4559 (1.4861)	Prec 0.4925
Epoch: [2][9800/11269]	Loss 1.4340 (1.4859)	Prec 0.5005
Epoch: [2][9900/11269]	Loss 1.3463 (1.4859)	Prec 0.5027
Epoch: [2][10000/11269]	Loss 1.4928 (1.4862)	Prec 0.4897
Epoch: [2][10100/11269]	Loss 1.4619 (1.4860)	Prec 0.5041
Epoch: [2][10200/11269]	Loss 1.5242 (1.4863)	Prec 0.4852
